"","term_id","term_name","intersection","p_value","source","significant","gene_id"
"1","GO:0071805","potassium ion transmembrane transport","HORVU.MOREX.r3.1HG0066800,HORVU.MOREX.r3.2HG0164700,HORVU.MOREX.r3.3HG0275790",0.0032481912899052,"GO:BP",TRUE,"HORVU.MOREX.r3.1HG0066800"
"2","GO:0071805","potassium ion transmembrane transport","HORVU.MOREX.r3.1HG0066800,HORVU.MOREX.r3.2HG0164700,HORVU.MOREX.r3.3HG0275790",0.0032481912899052,"GO:BP",TRUE,"HORVU.MOREX.r3.2HG0164700"
"3","GO:0071805","potassium ion transmembrane transport","HORVU.MOREX.r3.1HG0066800,HORVU.MOREX.r3.2HG0164700,HORVU.MOREX.r3.3HG0275790",0.0032481912899052,"GO:BP",TRUE,"HORVU.MOREX.r3.3HG0275790"
"4","GO:0034765","regulation of monoatomic ion transmembrane transport","HORVU.MOREX.r3.1HG0066800,HORVU.MOREX.r3.3HG0275790",0.00412111269676888,"GO:BP",TRUE,"HORVU.MOREX.r3.1HG0066800"
"5","GO:0034765","regulation of monoatomic ion transmembrane transport","HORVU.MOREX.r3.1HG0066800,HORVU.MOREX.r3.3HG0275790",0.00412111269676888,"GO:BP",TRUE,"HORVU.MOREX.r3.3HG0275790"
"6","GO:0006813","potassium ion transport","HORVU.MOREX.r3.1HG0066800,HORVU.MOREX.r3.2HG0164700,HORVU.MOREX.r3.3HG0275790",0.00630441151915598,"GO:BP",TRUE,"HORVU.MOREX.r3.1HG0066800"
"7","GO:0006813","potassium ion transport","HORVU.MOREX.r3.1HG0066800,HORVU.MOREX.r3.2HG0164700,HORVU.MOREX.r3.3HG0275790",0.00630441151915598,"GO:BP",TRUE,"HORVU.MOREX.r3.2HG0164700"
"8","GO:0006813","potassium ion transport","HORVU.MOREX.r3.1HG0066800,HORVU.MOREX.r3.2HG0164700,HORVU.MOREX.r3.3HG0275790",0.00630441151915598,"GO:BP",TRUE,"HORVU.MOREX.r3.3HG0275790"
"9","GO:0043269","regulation of monoatomic ion transport","HORVU.MOREX.r3.1HG0066800,HORVU.MOREX.r3.3HG0275790",0.00881820294584086,"GO:BP",TRUE,"HORVU.MOREX.r3.1HG0066800"
"10","GO:0043269","regulation of monoatomic ion transport","HORVU.MOREX.r3.1HG0066800,HORVU.MOREX.r3.3HG0275790",0.00881820294584086,"GO:BP",TRUE,"HORVU.MOREX.r3.3HG0275790"
"11","GO:0034762","regulation of transmembrane transport","HORVU.MOREX.r3.1HG0066800,HORVU.MOREX.r3.3HG0275790",0.0333642180412911,"GO:BP",TRUE,"HORVU.MOREX.r3.1HG0066800"
"12","GO:0034762","regulation of transmembrane transport","HORVU.MOREX.r3.1HG0066800,HORVU.MOREX.r3.3HG0275790",0.0333642180412911,"GO:BP",TRUE,"HORVU.MOREX.r3.3HG0275790"
"13","GO:0034702","monoatomic ion channel complex","HORVU.MOREX.r3.1HG0066800,HORVU.MOREX.r3.3HG0275790",0.00405922312069296,"GO:CC",TRUE,"HORVU.MOREX.r3.1HG0066800"
"14","GO:0034702","monoatomic ion channel complex","HORVU.MOREX.r3.1HG0066800,HORVU.MOREX.r3.3HG0275790",0.00405922312069296,"GO:CC",TRUE,"HORVU.MOREX.r3.3HG0275790"
"15","GO:1902495","transmembrane transporter complex","HORVU.MOREX.r3.1HG0066800,HORVU.MOREX.r3.3HG0275790",0.0496154855289452,"GO:CC",TRUE,"HORVU.MOREX.r3.1HG0066800"
"16","GO:1902495","transmembrane transporter complex","HORVU.MOREX.r3.1HG0066800,HORVU.MOREX.r3.3HG0275790",0.0496154855289452,"GO:CC",TRUE,"HORVU.MOREX.r3.3HG0275790"
"17","GO:0015079","potassium ion transmembrane transporter activity","HORVU.MOREX.r3.1HG0066800,HORVU.MOREX.r3.2HG0164700,HORVU.MOREX.r3.3HG0275790",0.000725673999247099,"GO:MF",TRUE,"HORVU.MOREX.r3.1HG0066800"
"18","GO:0015079","potassium ion transmembrane transporter activity","HORVU.MOREX.r3.1HG0066800,HORVU.MOREX.r3.2HG0164700,HORVU.MOREX.r3.3HG0275790",0.000725673999247099,"GO:MF",TRUE,"HORVU.MOREX.r3.2HG0164700"
"19","GO:0015079","potassium ion transmembrane transporter activity","HORVU.MOREX.r3.1HG0066800,HORVU.MOREX.r3.2HG0164700,HORVU.MOREX.r3.3HG0275790",0.000725673999247099,"GO:MF",TRUE,"HORVU.MOREX.r3.3HG0275790"
"20","GO:0005249","voltage-gated potassium channel activity","HORVU.MOREX.r3.1HG0066800,HORVU.MOREX.r3.3HG0275790",0.00636453729551261,"GO:MF",TRUE,"HORVU.MOREX.r3.1HG0066800"
"21","GO:0005249","voltage-gated potassium channel activity","HORVU.MOREX.r3.1HG0066800,HORVU.MOREX.r3.3HG0275790",0.00636453729551261,"GO:MF",TRUE,"HORVU.MOREX.r3.3HG0275790"
"22","GO:0022843","voltage-gated monoatomic cation channel activity","HORVU.MOREX.r3.1HG0066800,HORVU.MOREX.r3.3HG0275790",0.00706911448052539,"GO:MF",TRUE,"HORVU.MOREX.r3.1HG0066800"
"23","GO:0022843","voltage-gated monoatomic cation channel activity","HORVU.MOREX.r3.1HG0066800,HORVU.MOREX.r3.3HG0275790",0.00706911448052539,"GO:MF",TRUE,"HORVU.MOREX.r3.3HG0275790"
"24","GO:0005267","potassium channel activity","HORVU.MOREX.r3.1HG0066800,HORVU.MOREX.r3.3HG0275790",0.0130257694906228,"GO:MF",TRUE,"HORVU.MOREX.r3.1HG0066800"
"25","GO:0005267","potassium channel activity","HORVU.MOREX.r3.1HG0066800,HORVU.MOREX.r3.3HG0275790",0.0130257694906228,"GO:MF",TRUE,"HORVU.MOREX.r3.3HG0275790"
"26","GO:0046873","metal ion transmembrane transporter activity","HORVU.MOREX.r3.1HG0066800,HORVU.MOREX.r3.2HG0164700,HORVU.MOREX.r3.3HG0275790",0.0150340688315374,"GO:MF",TRUE,"HORVU.MOREX.r3.1HG0066800"
"27","GO:0046873","metal ion transmembrane transporter activity","HORVU.MOREX.r3.1HG0066800,HORVU.MOREX.r3.2HG0164700,HORVU.MOREX.r3.3HG0275790",0.0150340688315374,"GO:MF",TRUE,"HORVU.MOREX.r3.2HG0164700"
"28","GO:0046873","metal ion transmembrane transporter activity","HORVU.MOREX.r3.1HG0066800,HORVU.MOREX.r3.2HG0164700,HORVU.MOREX.r3.3HG0275790",0.0150340688315374,"GO:MF",TRUE,"HORVU.MOREX.r3.3HG0275790"
"29","GO:0005244","voltage-gated monoatomic ion channel activity","HORVU.MOREX.r3.1HG0066800,HORVU.MOREX.r3.3HG0275790",0.0469011642631808,"GO:MF",TRUE,"HORVU.MOREX.r3.1HG0066800"
"30","GO:0005244","voltage-gated monoatomic ion channel activity","HORVU.MOREX.r3.1HG0066800,HORVU.MOREX.r3.3HG0275790",0.0469011642631808,"GO:MF",TRUE,"HORVU.MOREX.r3.3HG0275790"
"31","GO:0022832","voltage-gated channel activity","HORVU.MOREX.r3.1HG0066800,HORVU.MOREX.r3.3HG0275790",0.0469011642631808,"GO:MF",TRUE,"HORVU.MOREX.r3.1HG0066800"
"32","GO:0022832","voltage-gated channel activity","HORVU.MOREX.r3.1HG0066800,HORVU.MOREX.r3.3HG0275790",0.0469011642631808,"GO:MF",TRUE,"HORVU.MOREX.r3.3HG0275790"
