Gene symbol,Gene name,Synonyms,Chromosome,Ensembl Identifier,NCBI Identifier/Gene ID,UniProt,Reference,Reference_title,Description,PMID
HvHAK1,High-affinity potassium transporter,-,2H,HORVU.MOREX.r3.2HG0164700,123426595,M0YQC9 ,"Feng, Xue et al. 2020",HvAKT2 and HvHAK1 confer drought tolerance in barley through enhanced leaf mesophyll H+ homoeostasis.,"Overexpression of HvAKT2 and HvHAK1 enhanced K+ uptake and H+ homoeostasis leading to drought tolerance in these transgenic lines. Moreover, HvAKT2- and HvHAK1-overexpressing lines showed distinct response of K+, H+ and Ca2+ fluxes across plasma membrane and production of nitric oxide and hydrogen peroxide in leaves as compared to the wild type and silenced lines.",31917885
HvAKT2,inwardly rectifying potassium channel AKT2,-,1H,HORVU.MOREX.r3.1HG0066800,123443072,F2CT39 ,"Feng, Xue et al. 2020",HvAKT2 and HvHAK1 confer drought tolerance in barley through enhanced leaf mesophyll H+ homoeostasis.,"Overexpression of HvAKT2 and HvHAK1 enhanced K+ uptake and H+ homoeostasis leading to drought tolerance in these transgenic lines. Moreover, HvAKT2- and HvHAK1-overexpressing lines showed distinct response of K+, H+ and Ca2+ fluxes across plasma membrane and production of nitric oxide and hydrogen peroxide in leaves as compared to the wild type and silenced lines.",31917885
HvAKT1,inwardly rectifying potassium channel AKT1,-,3H,HORVU.MOREX.r3.3HG0275790,123443974,F2DNB4,"Feng, Xue et al. 2020",Overexpression of HvAKT1 improves drought tolerance in barley by regulating root ion homeostasis and ROS and NO signaling.,Overexpression of HvAKT1 improves K+ uptake and increases drought resistance in barley. Silencing of HvAKT1 resulted in significantly decreased biomass and suppressed K+ uptake in root epidermal cells under drought treatment. Plasma membrane K+ channel HvAKT1 confers drought tolerance in barley roots.,32766860
HvJAZ2,Jasmonate ZIM‐domain 2,protein TIFY 11c-like,4H,HORVU.MOREX.r3.4HG0405240,123449615,F2DR88,"Xiong, Jiangyan et al. 2025",JAZ2 Negatively Regulates Drought Tolerance in Barley by Modulating PLT2 Expression.,HvJAZ2 negatively regulates root development and drought tolerance in barley by suppressing HvPLT2 expression through interacting with HvMYC2. Knocking Out of HvJAZ2 Upregulates HvPLT2 Expression in Roots.,39323024
HvMYB1,MYB related protein,-,5H,HORVU.MOREX.r3.5HG0500520,123400161,F2DDL9,"Alexander, Ross D et al. 2019",The barley transcription factor HvMYB1 is a positive regulator of drought tolerance.,"Transgenic barley plants that overexpress HvMYB1 were found to be more resistant to drought, showing enhanced relative water content and reduced water loss rate and stomatal conductance as compared to control plants. Levels of the osmolyte proline were enhanced as was expression of dehydrin HvDNH6 in the transgenic lines under drought conditions.",31374377
HvICS,Isochorismate synthase,-,5H,HORVU.MOREX.r3.5HG0475370,123453162,A0A8I6Y0V1,"Wang, Wenqiang et al. 2021",Overexpression of isochorismate synthase enhances drought tolerance in barley.,Overexpression of the ICS gene in barley enhances drought tolerance. ,33744782
HvHSFA2e,Heat stress transcription factor A-2a-like,-,5H,HORVU.MOREX.r3.5HG0509970,123452189,-,"Mishra, Sumit Kumar et al. 2024",Heat-stress-responsive HvHSFA2e gene regulates the heat and drought tolerance in barley through modulation of phytohormone and secondary metabolic pathways.,"Overexpression of HvHSFA2e improves the drought tolerance in transgenic barley lines. HvHSFA2e positively regulates the expression of abiotic stress-related genes encoding HSFs, HSPs, and enzymatic antioxidants, contributing to improved stress tolerance in transgenic plants. HvHSFA2e-mediated upregulation of heat-responsive genes, modulation in ABA and flavonoid biosynthesis pathways enhance drought and heat stress tolerance.",38874775
HvMORF8 ,Multiple organellar RNA editing factors 8,-,7H,HORVU.MOREX.r3.7HG0684630,-,-,"Shi, Shou-Heng et al. 2024",Transcriptome and molecular evidence of HvMORF8 conferring drought-tolerance in barley.,Silencing of HvMORF8 led to barley's hypersensitivity to drought stress. MORF8 is conserved in seed plants and positively regulates drought tolerance of barley.,39549383
HvZIFL2,Zinc Induced Facilitator-Like 2,-,3H,HORVU.MOREX.r3.3HG0260800,-,-,"Qiu, Cheng-Wei et al. 2023",Genome resequencing and transcriptome profiling reveal molecular evidence of tolerance to water deficit in barley.,Gene silencing and drought tolerance evaluation in a natural barley population demonstrated that HvZIFL2 and HvPOD11 positively regulate drought tolerance in barley.,36170948
HvPOD11,Peroxidase 11,-,7H,HORVU.MOREX.r3.7HG0671530,-,-,"Qiu, Cheng-Wei et al. 2023",Genome resequencing and transcriptome profiling reveal molecular evidence of tolerance to water deficit in barley.,Gene silencing and drought tolerance evaluation in a natural barley population demonstrated that HvZIFL2 and HvPOD11 positively regulate drought tolerance in barley.,36170948
HvPIP2;1,Plasma membrane intrinsic protein 2-1,,6H,HORVU.MOREX.r3.6HG0596770,-,-,"Hanba et al., 2004",Overexpression of the barley aquaporin HvPIP2;1 increases internal CO2 conductance and CO2 assimilation in the leaves of transgenic rice plants,expression in rice: increased water loss & CO2 assimilation.,15169933
HVA1,ABA-inducible protein PHV A1,LEA3,1H,"HORVU.MOREX.r3.1HG0080000, HORVU.MOREX.r3.1HG0080010 (In BART lookup site, it says MLOC id has these 2 gene ids in HORVU.r3 annotation)",-,-,"Bahieldin et al., 2005",Field evaluation of transgenic wheat plants stably expressing the HVA1 gene for drought tolerance,transgenic wheat expressing HVA1 shows enhanced drought tolerance,-
CBF4,C-repeat/dehydration-responsive element binding factors,,5H,HORVU.MOREX.r3.5HG0497560,-,-,"Oh et al., 2007",Expression of barley HvCBF4 enhances tolerance to abiotic stress in transgenic rice,overexpression in rice: enhanced drought tolerance,17614953
HvWRKY38 ,WRKY transcription factor 38,,6H,HORVU.MOREX.r3.6HG0568570,-,-,"Xiong, Xi, et al. 2010",Constitutive expression of the barley HvWRKY38 transcription factor enhances drought tolerance in turf and forage grass (Paspalum notatum Flugge).,"Transgenic bahiagrass plants overexpressing HvWRKY38 retained water better during dehydration, recovered faster and produced more biomass following rehydration and survived severe dehydration stress under controlled environment conditions in contrast to non-transgenic plants. ",-
HvDRF1 ,dehydration-responsive factor 1,AP2/EREBP protein,1H,HORVU.MOREX.r3.1HG0062390,-,-,"Xue, Gang-Ping, and Carl W Loveridge. 2004","HvDRF1 is involved in abscisic acid-mediated gene regulation in barley and produces two forms of AP2 transcriptional activators,  interacting preferably with a CT-rich element.","The expression of HvDRF1 was upregulated in barley leaves and roots under drought, salt or ABA treatment, and in embryos during seed maturation. HvDRF1 activity on the activation of HVA1s expression in barley leaves was markedly enhanced by HvABI5 (a bZIP transcription factor), ABA or drought treatment. ",14731254
HvSNAC1 ,NAC domain-containing protein 2-like,,5H,HORVU.MOREX.r3.5HG0524540,-,-,"Al Abdallat, A. M., et al. 2014",Overexpression of the transcription factor HvSNAC1 improves drought tolerance in barley (Hordeum vulgare L.).,"Transgenic barley plants overexpressing HvSNAC1 showed higher drought tolerance at different growth stages when compared with wild-type plants. Constitutive overexpression of HvSNAC1 resulted in improved water status, photosynthetic activity and reduced water loss rate when compared with wild-type plants under drought conditions. ",-
