Gene symbol,Gene name,Synonyms,Chromosome,NCBI Identifier,RAP Identifier,Oryzabase Trait Gene ID,MSU_Locus tag,NCBI_Locus tag,Reference,Reference_title,Description,PMID
OsCIPK17 ,Calcineurin B-like protein interacting protein kinase 17,"OsSnRK3.14, Sucrose nonfermenting-1-related protein kinase 3.14",5,4337736,Os05g0136200,7404,LOC_Os05g04550,OSNPB_050136200,"Lu, Shuai, et al. 2023",Combined metabolomic and transcriptomic analysis reveals key components of OsCIPK17 overexpression improves drought tolerance in rice.,OsCIPK17 improved drought resistance of rice by regulating deep roots under drought stress. OsCIPK17 positively regulates rice drought resistance and participates in the accumulation of citric acid in the TCA cycle.,36699859
OsSRDP,Stress Responsive DUF740 Protein,-,4,4337497,Os04g0690500,25890,LOC_Os04g59420,OSNPB_040690500,"Jayaraman, Karikalan, et al. 2023",Overexpression of a DUF740 family gene (LOC_Os04g59420) imparts enhanced climate resilience through multiple stress tolerance in rice.,"Transgenic plants maintained higher RWC, photosynthetic pigments, and proline accumulation under drought and salinity stresses. Furthermore, they exhibited less accumulation of reactive oxygen species (ROS) than PS2 under drought stress",36743581
OsCCR10,Cinnamoyl-CoA reductase 10,Dihydrofolate-4-reductase,2,4331103,Os02g0811800,16693,LOC_Os02g56700,OSNPB_020811800,"Bang, Seung Woon, et al. 2022","Transcriptional activation of rice CINNAMOYL‐CoA REDUCTASE 10 by OsNAC5, contributes to drought tolerance by modulating lignin accumulation in roots.","Transgenic rice plants overexpressing OsCCR10 showed improved drought tolerance at the vegetative stages of growth, as well as higher photosynthetic efficiency, lower water loss rates, and higher lignin content in roots compared to non-transgenic (NT) controls. OsCCr10 mediates drought tolerance through regulating lignin accumulation.",34786790
OsNAC5,NAC domain-containing protein 5,"ONAC9, ONAC020, OsNAC71",11,4349963,Os11g0184900,2261,LOC_Os11g08210,OSNPB_110184900,"Bang, Seung Woon, et al. 2022","Transcriptional activation of rice CINNAMOYL‐CoA REDUCTASE 10 by OsNAC5, contributes to drought tolerance by modulating lignin accumulation in roots.",Plants overexpressing OsNAC5 had significantly greater drought tolerance than control plants. OsNAC5 acts as an enhancer of OsCCR10 expression. ,34786790
OsCBM1,Carbohydrate-Binding Malectin-Like Protein 1,"OsRPK3, OsMRLK63, OsMRLP15, receptor protein kinase 3, malectin/malectin-like receptor-like kinase 63, malectin/malectin-like receptor-like protein 15",9,-,Os09g0358700,20387,LOC_Os09g19400,OSNPB_090358700,"Jing, Xiu-Qing, et al. 2021","Rice carbohydrate-binding malectin-like protein, OsCBM1, contributes to drought-stress tolerance by participating in NADPH oxidase-mediated ROS production.","Overexpression of OsCBM1 increased drought tolerance and reactive oxygen species production in rice, whereas the knockdown of the gene decreased them. OsCBM1 physically interacts with OsRbohA, a NADPH oxidase, and the expression of OsCBM1 in osrbohA, an OsRbohA-knockout mutant, is significantly downregulated under both normal growth and drought stress conditions.",35015164
OsSAPK10,Stress-Activated Protein Kinase 10,"OsSnRK2.10, Sucrose nonfermenting-1-related protein kinase 2.10",3,4333435,Os03g0610900,9818,LOC_Os03g41460,OSNPB_030610900,"Gao, Weiwei, et al. 2022",miR2105 and the kinase OsSAPK10 co-regulate OsbZIP86 to mediate drought-induced ABA biosynthesis in rice.,"OsSAPK10 phosphorylates OsbZIP86 to positively regulate OsNCED3 expression. miR2105-(OsSAPK10)-OsbZIP86-OsNCED3"" module regulates the drought-induced ABA biosynthesis without penalty on rice growth under normal conditions",35188194
OsbZIP86 ,b-ZIP transcription factor 86,"OsZIP-1A, OsZIP-1D ",12,4351839,Os12g0233800,10165,LOC_Os12g13170,OSNPB_120233800,"Gao, Weiwei, et al. 2022",miR2105 and the kinase OsSAPK10 co-regulate OsbZIP86 to mediate drought-induced ABA biosynthesis in rice.,Overexpression of OsbZIP86 and dow.nregulation of miR2105 improve drought tolerance without affecting the main agronomic traits of rice,35188194
OsSCL30,serine/arginine-rich SC35-like splicing factor SCL30,-,12,107275752,Os12g0572400,16052,LOC_Os12g38420,OSNPB_120572400,"Zhang, Jia, et al. 2022","OsSCL30 overexpression reduces the tolerance of rice seedlings to low temperature, drought and salt.","Overexpression of OsSCL30 diminished the resistance to low temperature, drought and salt stresses in transgenic rice and resulted in larger accumulation of reactive oxygen species. ",35589923
OsHSFB4b,Heat stress transcription factor B4b,"OsHSF19, OsHSF12",7,4344063,Os07g0640900,8565,LOC_Os07g44690,OSNPB_070640900,"Zhang, Yan, et al. 2022",OsHsfB4b confers enhanced drought tolerance in transgenic Arabidopsis and rice.,Over-expression of the OsHsfB4b gene in Arabidopsis and rice can increase the resistance to drought stress.,36142741
OsNAC092,NAC domain-containing protein 092,"OsNAC1, OsDLN172, OsY37, ONAC11, OMTN4, Oryza miR164-targeted NAC4, Yellow37",6,4341823,Os06g0675600,11461,LOC_Os06g46270,OSNPB_060675600,"Wang, Bo, et al. 2022",Knocking out the transcription factor OsNAC092 promoted rice drought tolerance.,"OsNAC092 mutant rice exhibited a higher ability to scavenge more ROS and maintained a high GSH/GSSG ratio and redox level under drought stress, which could protect cells from oxidant stress.",36552339
OsRINGzf1,RING zinc finger protein 1,"OsRING34,  RING-type E3 ubiquitin ligase 34",4,-,Os04g0568900,24945,LOC_Os04g48050,OSNPB_040568900,"Chen, Shoujun, et al. 2022",Ubiquitin ligase OsRINGzf1 regulates drought resistance by controlling the turnover of OsPIP2; 1.,"The OsRINGzf1 OE plants, with higher leaf-related water content (LRWC) and lower leaf water loss rate (LWLR), exhibited enhanced drought resistance, whereas the RNAi and knockout plants of OsRINGzf1 were more sensitive to drought. OsRINGzf1 positively regulates drought resistance through promoting the degradation of OsPIP2;1 to enhance water retention capacity in rice.",35587579
OsPIP2;1,Plasma membrane intrinsic protein 2-1,"OsPIP2a, Probable aquaporin PIP2-1",7,4343122,Os07g0448800,6256,LOC_Os07g26690,OSNPB_070448800,"Chen, Shoujun, et al. 2022",Ubiquitin ligase OsRINGzf1 regulates drought resistance by controlling the turnover of OsPIP2; 1.,The interaction between OsRINGzf1 and OsPIP2;1 reduces the water loss under drought stress,35587579
OsRLCK241,Receptor-like Cytoplasmic Kinase 241,"OsPTK11, Protein Tyrosine Kinase 11, probable serine/threonine-protein kinase PBL2",7,4344340,Os07g0686800,18933,LOC_Os07g48730,OSNPB_070686800,"Zhang, Hui, et al. 2021",Overexpression of OsRLCK241 confers enhanced salt and drought tolerance in transgenic rice (Oryza sativa L.).,OsRLCK241 expression improved ROS detoxification by enhancing the activities of ROS scavengers as well as the accumulation of compatible osmolytes to alleviate the osmotic stress evoked by salt and drought stresses. ,33166596
OsAO3,aldehyde oxidase 3,"OsAAO1, abscisic aldehyde oxidase",7,-,Os07g0281700,20888,LOC_Os07g18120,-,"Shi, Xingyu, et al. 2021","The rice aldehyde oxidase OsAO3 gene regulates plant growth, grain yield, and drought tolerance by participating in ABA biosynthesis.","Overexpression of OsAO3 increased ABA levels, increased drought tolerance, decreased seedling growth and decreased grain yield.",33647795
OsCRP1,Chloroplast RNA-binding protein 1,"cpRNP1, OsCP31A",9,4347871,Os09g0565200,23879,LOC_Os09g39180,OSNPB_090565200,"Bang, Seung Woon, et al. 2021","OsCRP1, a ribonucleoprotein gene, regulates chloroplast mRNA stability that confers drought and cold tolerance.","OsCRP1 overexpressing plants showed a higher cyclic electron transport (CET) activity, which is essential for elevated levels of ATP for photosynthesis. Overexpression of OsCRP1 resulted in significantly enhanced drought and cold stress tolerance with higher ATP levels compared to wild type. ",33562320
OsPYL6,pyrabactin resistance 1-like 6,"OsPYL/RCAR4, Regulatory components of ABA receptor 4",3,4332548,Os03g0297600,17872,LOC_Os03g18600,OSNPB_030297600,"Santosh Kumar, V. V., et al. 2021",The abscisic acid receptor OsPYL6 confers drought tolerance to indica rice through dehydration avoidance and tolerance mechanisms.,"OsPYL6 overexpression enhanced the expression of stress-responsive genes and dehydration tolerance. Overexpression of OsPYL6 conferred ABA hypersensitivity during germination and promoted total root length. However, overexpression of PYL6 reduced grain yield under non-stress conditions due to reduction in height, biomass, panicle branching and spikelet fertility.",33130892
OsIAA20,Indoleacetic Acid-Induced 20,-,6,4340245,Os06g0166500,10453,LOC_Os06g07040,OSNPB_060166500,"Zhang, Aiyuan, et al. 2021","OsIAA20, an Aux/IAA protein, mediates abiotic stress tolerance in rice through an ABA pathway.",OsIAA20 overexpression plants increased drought and salt tolerance. Overexpressing OsIAA20 exhibited increased stomatal closure and decreased the rate of water loss.,34034863
OsMFT1,Mother of FT and TFL1,-,6,4341107,Os06g0498800,11877,LOC_Os06g30370,OSNPB_060498800,"Chen, Ying, et al. 2021",Nuclear translocation of OsMFT1 that is impeded by OsFTIP1 promotes drought tolerance in rice.,OsMFT1 might act as a hitherto unknown nucleocytoplasmic trafficking signal that regulates drought tolerance in rice in response to environmental signals.,33962060
OsFTIP1 ,FT-interacting protein 1,"OsC2DP55, C2 Domain-Containing Protein 55",6,4341529,Os06g0614000,21723,LOC_Os06g41090,OSNPB_060614000,"Chen, Ying, et al. 2021",Nuclear translocation of OsMFT1 that is impeded by OsFTIP1 promotes drought tolerance in rice.,"OsFTIP1 negatively regulates drought response in rice. OsFTIP1 interacts with OsMFT1, a PEBP that promotes rice tolerance to drought treatment. ",33962060
OsPUB41,plant U-box-containing protein 41,"OsUPS, OsCMPG1, U-box containing E3 ligase induced by phosphate starvation, immediate-early fungal elicitor protein CMPG1",3,4332204,Os03g0240600,25226,LOC_Os03g13740,OSNPB_030240600,"Seo, Dong Hye, et al. 2021","OsPUB41, a U-box E3 ubiquitin ligase, acts as a negative regulator of drought stress response in rice (Oryza Sativa L.).","OsPUB41 plays a negative role in drought stress response through the mediation of OsUBC25 and interacts with OsCLC6, suggesting a putative substrate.",34100185
OsUGT3,UDP-glycosyltransferase 3,"qRA2, Cytokinin-O-glucosyltransferase2, QTL for ratooning ability on chromosome 2, 7-deoxyloganetin glucosyltransferase",2,4330775,Os02g0755900,15245,LOC_Os02g51930,OSNPB_020755900,"Wang, Ting, et al. 2021",Overexpression of OsUGT3 enhances drought and salt tolerance through modulating ABA synthesis and scavenging ROS in rice.,Overexpression of UGT3 in rice increased endogenous ABA level and showed hypersensitive phenotype to exogenous ABA treatment at both germination and post-germination stages. The ectopic expression of UGT3 in Arabidopsis also enhanced the plant tolerance to drought and salt stresses. ,-
SDG708,SET Domain Group Protein708,"OsSET19, histone-lysine N-methyltransferase ASHH1",4,4335856,Os04g0429100,13384,LOC_Os04g34976,OSNPB_040429100,"Chen, Kai, et al. 2021",H3K36 methyltransferase SDG708 enhances drought tolerance by promoting abscisic acid biosynthesis in rice.,"SDG708, a specific H3K36 methyltransferase, functions as a positive regulator of drought tolerance in rice. SDG708 induced hydrogen peroxide accumulation in the guard cells and promoted stomatal closure to reduce water loss. Overexpression of SDG708 concomitantly enhanced rice drought tolerance and increased grain yield under normal and drought stress conditions. ",33606283
OsJAZ9,Jasmonate ZIM-domain protein 9,"OsTIFY11a, OsJAZ6, OsJAZ3",3,4331832,Os03g0180800,9489,LOC_Os03g08310,OSNPB_030180800,"Singh, Ajit Pal, Balaji Mani, and Jitender Giri. 2021",OsJAZ9 is involved in water-deficit stress tolerance by regulating leaf width and stomatal density in rice.,"Overexpression of OsJAZ9 imparts water deficit (drought) tolerance in rice. Overexpression of OsJAZ9 led to the enhanced ABA and JA levels. Further, OsJAZ9 overexpression reduces leaf width and stomata density, leading to lower leaf transpiration rates than WT. This reduced transpiration and higher K content as osmoticum improved the water-deficit stress tolerance in OsJAZ9 overexpression lines. ",33684775
OsPSKR15,Phytosulfokine Receptor 15,OsPSKR3,7,4342205,Os07g0107800,23468,LOC_Os07g01710,OSNPB_070107800,"Nagar, Preeti, et al. 2022","OsPSKR15, a phytosulfokine receptor from rice enhances abscisic acid response and drought stress tolerance.","OsPSKR15 is a positive regulator in plant response to ABA. Ectopic expression of OsPSKR15 in Arabidopsis thaliana increased the sensitivity to ABA during germination, growth and stomatal closure. Constitutive expression of OsPSKR15 enhanced drought tolerance by reducing the transpirational water loss in Arabidopsis. ",34549425
OsS1Fa1,site 1 binding factor a1,-,4,4335762,Os04g0408900,24376,LOC_Os04g33420,OSNPB_040408900,"Kim, Sung-Il, et al. 2021",Overexpression of Rice Os S1Fa1 Gene Confers Drought Tolerance in Arabidopsis.,OsS1Fa1 overexpression in Arabidopsis induced the expression of selected drought-responsive genes and enhanced the survival rate of transgenic lines under drought. ,34685986
OsC3H10,Zinc finger CCCH domain-containing protein 10,"OsTZF8, OsCCCH-Zn-2, OsEnS-12, Tandem zinc finger protein 8, endosperm-specific gene 12",1,-,Os01g0738400,8573,LOC_Os01g53650,-,"Seong, So Yoon, et al. 2020","Overexpression of OsC3H10, a CCCH-Zinc Finger, Improves Drought Tolerance in Rice by Regulating Stress-Related Genes.","Root-specific overexpression of OsC3H10 was insufficient to induce drought tolerance, while the overexpression of OsC3H10 throughout the entire plant enhanced the drought tolerance of rice plants. ",33019599
OsRCN1,Rice Terminal Flower 1/Centroradialis Homolog 1,"Cen-like protein FDR2, Putative phosphatidylethanolamine-binding protein",11,4349798,Os11g0152500,6602,LOC_Os11g05470,OSNPB_110152500,"Wang, Yan, et al. 2020","RICE CENTRORADIALIS 1, a TFL1-like Gene, Responses to Drought Stress and Regulates Rice Flowering Transition.","Drought can interfere with flowering; therefore, many plants hasten this process to shorten their life cycle under water scarcity, and this is known as drought-escape response. However, rice has other strategies; for example, drought stress can delay flowering instead of accelerating it. RCN1 plays an important role in the process of drought stress inhibiting flowering transition. It may worked by suppressing the protein function rather than transcription of HEADING DATE 3a.",32970268
OsRbohB,Respiratory Burst Oxidase Homolog B,"OsNox1, NADPH oxidase 1",1,4326027,Os01g0360200,7460,LOC_Os01g25820,OSNPB_010360200,"Shi, Yi, et al. 2020",OsRbohB-mediated ROS production plays a crucial role in drought stress tolerance of rice.,Rice NADPH oxidase gene OsRbohB contributes drought tolerance and its functions are involved in the interaction of the OsRbohB-mediated ROS production and ABA signaling.,32980968
OsNAC006,NAC domain-containing protein 006,"ONAC16, SNAC3, ONAC066, stress-responsive NAC transcription factor 3, SECONDARY WALL-ASSOCIATED NAC PROTEIN3",1,4327298,Os01g0191300,11455,LOC_Os01g09550,OSNPB_010191300,"Wang, Bo, et al. 2020",Knockout of the OsNAC006 Transcription Factor Causes Drought and Heat Sensitivity in Rice.,"RNA sequencing (RNA-seq) transcriptome analysis revealed that OsNAC006 regulates the expression of genes mainly involved in response to stimuli, oxidoreductase activity, cofactor binding, and membrane-related pathways. Knockout of OsNAC006 using the CRISPR-Cas9 system resulted in drought and heat sensitivity.",32225072
OsRab7,ras-related protein Rab7 ,"OsRab7B3, GTP-binding protein OsRab7",5,4339322,Os05g0516600,11090,LOC_Os05g44050,OSNPB_050516600,"El-Esawi, Mohamed A., and Aisha A. Alayafi. 2019)",Overexpression of rice Rab7 gene improves drought and heat tolerance and increases grain yield in rice (Oryza sativa L.).,"OsRab7 gene improves grain yield and enhances drought and heat tolerance in transgenic rice by modulating osmolytes, antioxidants and abiotic stress-responsive genes expression. ",30658457
OsZFP350 ,Zinc finger protein ZFP350,-,5,4338296,Os05g0286100,23328,LOC_Os05g20930,OSNPB_050286100,"Kang, Zhenhui, Tong Qin, and Zhiping Zhao. 2019",Overexpression of the zinc finger protein gene OsZFP350 improves root development by increasing resistance to abiotic stress in rice.,"Expression of OsZFP350 was up-regulated by salt, drought and high temperature, indicating that it might be a regulator in response to abiotic stress in rice root.  OsZFP350 plays a positive role in the adaptability of rice roots to abiotic stress.",31125390
OsMYB102,Myb transcription factor 102,"OsMYB81, R2R3-MYB",6,4341607,Os06g0637500,16300,LOC_Os06g43090,OSNPB_060637500,"Piao, Weilan, Yasuhito Sakuraba, and Nam-Chon Paek. 2019",Transgenic expression of rice MYB102 (OsMYB102) delays leaf senescence and decreases abiotic stress tolerance in Arabidopsis thaliana.,"The OsMYB102-OX plants showed a delayed senescence phenotype during dark incubation and were more susceptible to salt and drought stresses, considerably similar to Arabidopsis plants overexpressing AtMYB44.",31072449
OsSIZ1,SUMO (small ubiquitin-related modifier) E3-ligase,"SAP and MIZ 1, OsDLN131, OsPHD23, DLN motif protein 131, Plant homeo-domain finger protein 23",5,4337672,Os05g0125000,9365,LOC_Os05g03430,OSNPB_050125000,"Esmaeili, Nardana, et al. 2019","Co-overexpression of AVP1 and OsSIZ1 in Arabidopsis substantially enhances plant tolerance to drought, salt, and heat stresses.","Overexpression of the rice SUMO E3 ligase gene OsSIZ1 improves heat and water deficit stress tolerance in transgenic plants. AVP1/OsSIZ1 co-overexpressing plants performed significantly better than AVP1-overexpressing plants and OsSIZ1-overexpressing plants, and produced 100% more seed than wild-type plants under single stress or multiple stress conditions. ",31113977
OsJAZ1,Jasmonate ZIM-domain protein 1,"OsTIFY3, OsJAZ10, EG2, extra glume 2, TIFY gene 3",4,4337240,Os04g0653000,9496,LOC_Os04g55920,OSNPB_040653000,"Fu, Jie, et al. 2017",OsJAZ1 attenuates drought resistance by regulating JA and ABA signaling in rice.,"Expression of OsJAZ1 was strongly responsive to JA treatment, and it was slightly responsive to ABA, salicylic acid, and abiotic stresses including drought, salinity, and cold. The OsJAZ1-overexpression rice plants were more sensitive to drought stress treatment than the wild-type (WT) rice Zhonghua 11 (ZH11) at both the seedling and reproductive stages, while the jaz1 T-DNA insertion mutant plants showed increased drought tolerance compared to the WT plants. ",29312378
OsERF48,Ethylene response factor 48,"AP2/EREBP170, OsDRAP1, APETALA2/ethylene-responsive element binding protein 170, Drought Responsive AP2/EREBP gene 1, ethylene-responsive transcription factor RAP2-4",8,4345541,Os08g0408500,10565,LOC_Os08g31580,OSNPB_080408500,"Jung, Harin, et al. 2017","Overexpression of OsERF 48 causes regulation of Os CML 16, a calmodulin‐like protein gene that enhances root growth and drought tolerance.",OsERF48 is a drought-inducible transcriptional activator. Overexpression of OsERF48 in rice confers drought tolerance at the vegetative stage. ,28244201
OsCML16,Calmodulin-like protein 16,-,1,4325693,Os01g0135700,10502,LOC_Os01g04330,OSNPB_010135700,"Jung, Harin, et al. 2017","Overexpression of OsERF 48 causes regulation of Os CML 16, a calmodulin‐like protein gene that enhances root growth and drought tolerance.","OsCML16, a calmodulin-like protein gene enhances root growth and drought tolerance.",28244201
OsASR5 ,"ABA-, stress and ripening-induced protein 5","OsASR1, OsASR2, Abiotic Stress Responsive 1",11,4349876,Os11g0167800,8408,LOC_Os11g06720,OSNPB_110167800,"Li, Jinjie, et al. 2017",OsASR 5 enhances drought tolerance through a stomatal closure pathway associated with ABA and H2O2 signalling in rice.,"Overexpression of OsASR5 enhanced osmotic tolerance in Escherichia coli and drought tolerance in Arabidopsis and rice by regulating leaf water status under drought stress conditions. Moreover, overexpression of OsASR5 in rice increased endogenous ABA level and showed hypersensitive to exogenous ABA treatment at both germination and postgermination stages. ",27420922
OsNAC6 ,NAC domain-containing protein 6,"ONAC048, OsSNAC2, OsNAC2",1,4325006,Os01g0884300,2263,LOC_Os01g66120,OSNPB_010884300,"Lee, Dong‐Keun, et al. 2017",The rice Os NAC 6 transcription factor orchestrates multiple molecular mechanisms involving root structural adaptions and nicotianamine biosynthesis for drought tolerance.,"OsNAC6 root-specific overexpressing transgenic rice lines was less affected by drought stress than were nontransgenic controls. OsNAC6 up-regulates the expression of direct target genes involved in membrane modification, nicotianamine (NA) biosynthesis, glutathione relocation, 3'-phophoadenosine 5'-phosphosulphate accumulation and glycosylation, which represent multiple drought tolerance pathways. ",27892643
OsDT11 ,Drought tolerance 11,-,11,-,Os11g0211800,21537,LOC_Os11g10590,-,"Li, Xiaoming, et al. 2017","Overexpression of OsDT11, which encodes a novel cysteine-rich peptide, enhances drought tolerance and increases ABA concentration in rice.","OsDT11-overexpression lines displayed dramatically enhanced tolerance to drought and had reduced water loss, reduced stomatal density, and an increased the concentration of abscisic acid (ABA). The suppression of OsDT11 expression resulted in an increased sensitivity to drought compared to wild-type expression. ",27718117
OsAKT1,salt-sensitive K1 uptake channel OsAKT1 K+ channel alpha subunit,-,1,4326245,Os01g0648000,10369,LOC_Os01g45990,OSNPB_010648000,"Ahmad, Izhar, Afaq Mian, and Frans JM Maathuis. 2016",Overexpression of the rice AKT1 potassium channel affects potassium nutrition and rice drought tolerance.,"AKT1 overexpression improved rice osmotic and drought stress tolerance by increasing tissue levels of K(+), especially in the root.",26969743
OsMSR15 ,Multi-stress-responsive gene 15,ZFP31,3,4333432,Os03g0610400,25728,LOC_Os03g41390,OSNPB_030610400,"Zhang, Xin, et al. 2016",OsMSR15 encoding a rice C2H2-type zinc finger protein confers enhanced drought tolerance in transgenic Arabidopsis.,"Expression of OsMSR15 in Arabidopsis conferred drought tolerance, and transgenic plants showed hypersensitivity to exogenous ABA during the seed germination and post-germination stages. Transgenic plants also showed higher levels of free proline, less electrolyte leakage and increased expressions of a number of stress-responsive genes, including LEA3, RD29A, DREB1A and P5CS1 under drought stress.",-
